RF US
RGA US
RHI US
RHM GR
RHT US
RI FP
RIG US
RIO LN
RJF US
RL US
RMD US
RMG LN
RMS FP
RMV LN
RNO FP
ROG SW
ROK US
ROP US
ROR LN
ROST UN
RPC LN
RPM US
RR/ LN
RRC US
RRS LN
RRTL GR
RS US
RSA LN
RSG US
RTL LX
RTN US
RTO LN
RUI FP
RWE GR
RXL FP
RYA ID
RYN US
SAABB SS
SAB SM
SAB SQ
SABR US
SAF FP
SAMPO FH
SAN FP
SAN SM
SAN SQ
SAND SS
SAP GR
SBAC UN
SBMO NA
SBRY LN
SBUX UN
SBUX US
SCAB SS
SCCO US
SCG US
SCHA NO
SCHP SW
SCHW US
SCMN SW
SCR FP
SDF GR
SDR LN
SDRL NO
SGE LN
SGL GR
SGO FP
SGRE SQ
SGRO LN
SGSN SW
SHA GR
SHB LN
SHBA SS
SHP LN
SHW US
SIE GR
SIK SW
SIM DC
SIVB UN
SIX US
SIX3 GR
SJM US
SK FP
SKAB SS
SKFB SS
SKG ID
SKY LN
SLA LN
SLB US
SLG US
SLHN SW
SMDS LN
SMG US
SMIN LN
SMWH LN
SN/ LN
SNA US
SNPS UN
SO US
SOBI SS
SOLB BB
SON US
SOON SW
SOP FP
SOW GR
SPG US
SPGI US
SPIE FP
SPM IM
SPR GR
SPSN SW
SPX LN
SRCG SW
SRCL UN
SRE US
SREN SW
SRG IM
SRT3 GR
SSPG LN
SSW LN
STAN LN
STB NO
STERV FH
STI US
STJ LN
STL NO
STM IM
STMN SW
STO US
STOR US
STT US
STWD US
STX UN
STX US
STZ US
SU FP
SUBC NO
SUI US
SUS SW
SVT LN
SW FP
SWBA SS
SWCUB SS
SWE US
SWEDA SS
SWK US
SWKS UN
SWMA SS
SWSG FP
SWV FP
SXS LN
SY1 GR
SYDB DC
SYF US
SYK US
SYMC UN
SYMC US
SYY US
T US
TAP US
TATE LN
TCAP LN
TDC DC
TDG US
TEF SM
TEF SQ
TEG GR
TEL NO
TEL US
TEL2B SS
TELIA SS
TEMN SW
TEN IM
TEP FP
TGS NO
TGT US
TIE1V FH
TIF US
TIT IM
TITR IM
TJX US
TKA GR
TLW LN
TLX GR
TMK US
TMO US
TNET BB
TPK LN
TPR US
TRELB SS
TRGP US
TRIP UN
TRN IM
TROW UN
TROW US
TRV US
TRYG DC
TSCO LN
TSCO UN
TSLA US
TSN US
TSS US
TTWO UN
TUI LN
TW/ LN
TWX US
TXN UN
TXN US
TXT US
UA US
UAA US
UAL US
UBI FP
UBI IM
UBM LN
UBSG SW
UCB BB
UCG IM
UDG LN
UDR US
UG FP
UGI US
UHR SW
UHS US
UL NA
ULTA UN
ULVR LN
UMI BB
UMPQ US
UPM FH
UPS US
URI US
US IM
US01 GR
USA NA
USB US
USH US
USI IM
USM US
USP US
UTDI GR
UTX US
UU/ LN
V US
VACN SW
VALMT FH
VAR US
VCT LN
VEON NA
VER US
VFC US
VIAB UN
VIAB US
VIE FP
VIFN SW
VIS SQ
VIV FP
VLO US
VMC US
VNA GR
VNO US
VOD LN
VOE AV
VOLVB SS
VOW3 GR
VPK NA
VR US
VRSK UN
VRSN UN
VRTX UN
VTR US
VVC US
VWS DC
VZ US
WAF GR
WAT US
WBA UN
WBA US
WCH GR
WDC UN
WDC US
WDH DC
WDI GR
WEC US
WEIR LN
WELL US
WFC US
WG/ LN
WHR US
WIE AV
WKL NA
WLK US
WLTW UN
WLTW US
WM US
WMB US
WMH LN
WMT US
WPC US
WPP LN
WPZ US
WR US
WRK US
WRT1V FH
WSM US
WSO US
WTB LN
WTR US
WU US
WY US
WYN US
WYNN UN
XEC US
XEL UN
XEL US
XL US
XLNX UN
XLNX US
XOM US
XRAY UN
XRX US
XYL US
YAR NO
YUM US
ZAL GR
ZBH US
ZION UN
ZTS US
ZURN SW
